cell_id,cell_row,cell_col,lon,lat,valid_pixels,urbanization_component,vegetation_component,water_component,stress_score,stress_score_pca,stress_category,evidence_strength,supporting_evidence_count,evidence_interpretation
C_004_095,4,95,79.05718,13.741664,10000,0.0803,0.1611,0.2034,0.1483,0.1279,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_004_096,4,96,79.066163,13.741664,10000,0.2022,0.2435,0.0891,0.1783,0.2106,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_004_097,4,97,79.075146,13.741664,10000,0.1243,0.4233,0.0642,0.204,0.2539,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_005_090,5,90,79.012264,13.73268,8006,0.0062,0.0152,0.0037,0.0084,0.01,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_091,5,91,79.021247,13.73268,10000,0.0015,0.001,0.0003,0.001,0.0012,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_092,5,92,79.03023,13.73268,10000,0.0035,0.0049,0.0003,0.0029,0.0039,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_093,5,93,79.039214,13.73268,10000,0.0339,0.0632,0.0007,0.0326,0.0441,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_094,5,94,79.048197,13.73268,10000,0.07,0.0774,0.0039,0.0505,0.0674,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_095,5,95,79.05718,13.73268,10000,0.0032,0.0095,0.1166,0.0431,0.0162,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_096,5,96,79.066163,13.73268,10000,0.0984,0.3711,0.1153,0.1949,0.223,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_005_097,5,97,79.075146,13.73268,10000,0.0315,0.1111,0.1926,0.1117,0.082,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_005_098,5,98,79.084129,13.73268,9534,0.0353,0.37,0.0443,0.1499,0.1872,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_006_088,6,88,78.994298,13.723697,5937,0.0183,0.1439,0.064,0.0754,0.0791,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_089,6,89,79.003281,13.723697,8787,0.0501,0.2558,0.1472,0.151,0.1517,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_006_090,6,90,79.012264,13.723697,10000,0.0259,0.0457,0.0,0.0239,0.0325,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_091,6,91,79.021247,13.723697,10000,0.005,0.0008,0.0016,0.0025,0.0028,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_092,6,92,79.03023,13.723697,10000,0.006,0.0405,0.0062,0.0176,0.0216,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_093,6,93,79.039214,13.723697,10000,0.0242,0.1107,0.0327,0.0559,0.064,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_094,6,94,79.048197,13.723697,10000,0.0319,0.0659,0.0141,0.0373,0.0456,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_095,6,95,79.05718,13.723697,10000,0.0492,0.1984,0.0884,0.112,0.1201,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_006_096,6,96,79.066163,13.723697,10000,0.2037,0.342,0.1094,0.2184,0.2576,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_006_097,6,97,79.075146,13.723697,10000,0.2359,0.2083,0.1221,0.1888,0.2132,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_006_098,6,98,79.084129,13.723697,10000,0.0646,0.1533,0.1985,0.1388,0.1167,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_007_087,7,87,78.985315,13.714714,10000,0.0244,0.0362,0.0138,0.0248,0.0288,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_007_088,7,88,78.994298,13.714714,10000,0.146,0.134,0.2017,0.1606,0.1456,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_007_089,7,89,79.003281,13.714714,10000,0.0554,0.1782,0.0819,0.1052,0.1132,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_007_090,7,90,79.012264,13.714714,10000,0.0981,0.1933,0.1631,0.1515,0.1469,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_007_091,7,91,79.021247,13.714714,10000,0.2126,0.3884,0.1339,0.245,0.2848,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_007_092,7,92,79.03023,13.714714,10000,0.1544,0.4487,0.0596,0.2209,0.2787,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_007_093,7,93,79.039214,13.714714,10000,0.2586,0.7539,0.1529,0.3885,0.4726,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_007_094,7,94,79.048197,13.714714,10000,0.1415,0.3988,0.094,0.2114,0.2534,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_007_095,7,95,79.05718,13.714714,10000,0.1687,0.2766,0.1588,0.2014,0.2165,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_007_096,7,96,79.066163,13.714714,10000,0.0727,0.2616,0.0904,0.1416,0.1596,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_007_097,7,97,79.075146,13.714714,10000,0.0732,0.2778,0.1389,0.1633,0.1715,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_007_098,7,98,79.084129,13.714714,9711,0.014,0.0606,0.085,0.0532,0.0414,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_008_087,8,87,78.985315,13.705731,10000,0.0689,0.1632,0.1765,0.1362,0.1211,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_008_088,8,88,78.994298,13.705731,10000,0.0477,0.1611,0.2617,0.1568,0.1182,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_008_089,8,89,79.003281,13.705731,10000,0.1327,0.2538,0.1379,0.1748,0.1878,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_008_090,8,90,79.012264,13.705731,10000,0.2212,0.3398,0.129,0.23,0.2664,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_008_091,8,91,79.021247,13.705731,10000,0.1361,0.4289,0.1709,0.2453,0.2714,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_008_092,8,92,79.03023,13.705731,10000,0.2124,0.3313,0.0992,0.2143,0.2559,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_008_093,8,93,79.039214,13.705731,10000,0.1237,0.1926,0.0789,0.1317,0.1508,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_008_094,8,94,79.048197,13.705731,10000,0.083,0.1883,0.0239,0.0984,0.1252,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_008_095,8,95,79.05718,13.705731,10000,0.1989,0.1982,0.1366,0.1779,0.1929,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_008_096,8,96,79.066163,13.705731,10000,0.1696,0.3266,0.1713,0.2225,0.2406,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_008_097,8,97,79.075146,13.705731,10000,0.2176,0.4258,0.1438,0.2624,0.3049,Q3: Moderate-High Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_008_098,8,98,79.084129,13.705731,7001,0.1356,0.1878,0.2311,0.1848,0.1678,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_009_087,9,87,78.985315,13.696748,10000,0.048,0.0622,0.0413,0.0505,0.0538,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_009_088,9,88,78.994298,13.696748,10000,0.062,0.1286,0.1795,0.1234,0.1027,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_009_089,9,89,79.003281,13.696748,10000,0.0918,0.15,0.075,0.1056,0.1166,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_009_090,9,90,79.012264,13.696748,10000,0.1141,0.2348,0.1176,0.1555,0.1689,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_009_091,9,91,79.021247,13.696748,10000,0.2269,0.2498,0.1179,0.1982,0.2274,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_009_092,9,92,79.03023,13.696748,10000,0.1789,0.2867,0.2522,0.2393,0.2341,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_009_093,9,93,79.039214,13.696748,10000,0.2128,0.3762,0.2024,0.2638,0.2856,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_009_094,9,94,79.048197,13.696748,10000,0.1923,0.4575,0.1379,0.2625,0.3071,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_009_095,9,95,79.05718,13.696748,10000,0.3818,0.5779,0.1366,0.3654,0.4482,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_009_096,9,96,79.066163,13.696748,10000,0.3703,0.6294,0.151,0.3836,0.4675,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_009_097,9,97,79.075146,13.696748,9596,0.1282,0.2398,0.1553,0.1744,0.181,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_010_087,10,87,78.985315,13.687765,9661,0.1311,0.0948,0.0203,0.0821,0.1047,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_010_088,10,88,78.994298,13.687765,10000,0.0264,0.1585,0.0842,0.0897,0.0912,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_010_089,10,89,79.003281,13.687765,10000,0.1514,0.3021,0.3068,0.2534,0.2334,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_090,10,90,79.012264,13.687765,10000,0.104,0.5232,0.262,0.2964,0.3074,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_091,10,91,79.021247,13.687765,10000,0.177,0.3787,0.2132,0.2563,0.2713,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_092,10,92,79.03023,13.687765,10000,0.0501,0.2072,0.4015,0.2196,0.1527,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_093,10,93,79.039214,13.687765,10000,0.0751,0.4795,0.1998,0.2515,0.2689,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_010_094,10,94,79.048197,13.687765,10000,0.0777,0.2832,0.2623,0.2077,0.1871,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_095,10,95,79.05718,13.687765,10000,0.1564,0.2453,0.226,0.2092,0.2028,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_096,10,96,79.066163,13.687765,10000,0.0982,0.2171,0.281,0.1988,0.1683,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_010_097,10,97,79.075146,13.687765,6504,0.0178,0.0753,0.0634,0.0522,0.0479,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_011_088,11,88,78.994298,13.678782,9962,0.0594,0.2624,0.1966,0.1728,0.1634,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_011_089,11,89,79.003281,13.678782,10000,0.1434,0.2054,0.1369,0.1619,0.1708,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_011_090,11,90,79.012264,13.678782,10000,0.1355,0.2587,0.2158,0.2033,0.1983,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_011_091,11,91,79.021247,13.678782,10000,0.2389,0.3278,0.1565,0.2411,0.2716,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_011_092,11,92,79.03023,13.678782,10000,0.1253,0.2254,0.0982,0.1496,0.168,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_011_093,11,93,79.039214,13.678782,10000,0.2183,0.2723,0.5885,0.3597,0.276,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_011_094,11,94,79.048197,13.678782,10000,0.2937,0.291,0.3999,0.3282,0.302,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_011_095,11,95,79.05718,13.678782,10000,0.2066,0.2293,0.5714,0.3358,0.2497,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_011_096,11,96,79.066163,13.678782,10000,0.0835,0.3307,0.4306,0.2816,0.2263,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_011_097,11,97,79.075146,13.678782,5611,0.1347,0.2806,0.3694,0.2616,0.2217,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_012_088,12,88,78.994298,13.669798,6035,0.0905,0.1214,0.1655,0.1258,0.1112,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_012_089,12,89,79.003281,13.669798,10000,0.0656,0.051,0.0393,0.052,0.0566,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_012_090,12,90,79.012264,13.669798,10000,0.0874,0.178,0.1372,0.1342,0.1328,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_012_091,12,91,79.021247,13.669798,10000,0.1566,0.3058,0.15,0.2041,0.2233,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_012_092,12,92,79.03023,13.669798,10000,0.2214,0.2161,0.2129,0.2168,0.2182,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_012_093,12,93,79.039214,13.669798,10000,0.3736,0.2313,0.4087,0.3379,0.3125,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_012_094,12,94,79.048197,13.669798,10000,0.2945,0.3552,0.3717,0.3405,0.3288,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_012_095,12,95,79.05718,13.669798,10000,0.1659,0.1286,0.7519,0.3488,0.2018,Q4: Higher Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_012_096,12,96,79.066163,13.669798,10000,0.0876,0.2817,0.4686,0.2793,0.2095,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_012_097,12,97,79.075146,13.669798,6086,0.1537,0.1231,0.3594,0.2121,0.1584,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_013_073,13,73,78.85955,13.660815,8699,0.0727,0.2411,0.0124,0.1087,0.1433,Q1: Lower Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_013_087,13,87,78.985315,13.660815,8382,0.1708,0.385,0.1973,0.251,0.2699,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_013_088,13,88,78.994298,13.660815,9624,0.2184,0.377,0.1456,0.247,0.2834,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_013_089,13,89,79.003281,13.660815,10000,0.0565,0.1706,0.1094,0.1122,0.1128,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_013_090,13,90,79.012264,13.660815,10000,0.1055,0.4246,0.1408,0.2236,0.2527,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_013_091,13,91,79.021247,13.660815,10000,0.0865,0.2496,0.1264,0.1542,0.1637,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_013_092,13,92,79.03023,13.660815,10000,0.0862,0.2258,0.1343,0.1487,0.1535,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_013_093,13,93,79.039214,13.660815,10000,0.2188,0.4812,0.316,0.3387,0.3459,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_013_094,13,94,79.048197,13.660815,10000,0.3862,0.3602,0.3583,0.3682,0.3719,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_013_095,13,95,79.05718,13.660815,10000,0.1745,0.3632,0.0796,0.2058,0.2511,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_013_096,13,96,79.066163,13.660815,9301,0.0889,0.4441,0.0768,0.2032,0.2481,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_014_073,14,73,78.85955,13.651832,10000,0.2587,0.4554,0.244,0.3194,0.3462,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_014_074,14,74,78.868534,13.651832,10000,0.138,0.1885,0.1768,0.1678,0.1643,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_014_075,14,75,78.877517,13.651832,8556,0.0582,0.1162,0.0949,0.0898,0.0877,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_014_088,14,88,78.994298,13.651832,9954,0.3759,0.4966,0.1948,0.3558,0.4141,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_014_089,14,89,79.003281,13.651832,10000,0.2899,0.5962,0.1038,0.33,0.4114,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_014_090,14,90,79.012264,13.651832,10000,0.1862,0.4742,0.0698,0.2434,0.3057,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_014_091,14,91,79.021247,13.651832,10000,0.2524,0.4373,0.2666,0.3188,0.3371,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_014_092,14,92,79.03023,13.651832,10000,0.1402,0.6102,0.1408,0.2971,0.3524,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_014_093,14,93,79.039214,13.651832,10000,0.4028,0.4678,0.17,0.3469,0.4111,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_014_094,14,94,79.048197,13.651832,10000,0.6233,0.4559,0.2142,0.4311,0.5108,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_014_095,14,95,79.05718,13.651832,7311,0.1956,0.2497,0.1747,0.2067,0.2181,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
