rank,cell_id,latitude,longitude,stress_score,stress_quartile,urbanization_component,vegetation_component,water_component,evidence_strength,dominant_evidence,secondary_evidence,decision_support_label,mandal,nearest_place,nearest_place_distance_km
12,C_053_166,13.301489,79.701092,0.6071,Q4: Higher Relative Stress,0.3731,0.6491,0.799,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
13,C_050_169,13.328439,79.728042,0.5978,Q4: Higher Relative Stress,0.4206,0.6652,0.7077,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
14,C_047_043,13.355388,78.590056,0.5967,Q4: Higher Relative Stress,0.7471,0.8002,0.243,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
15,C_042_068,13.400304,78.814635,0.5953,Q4: Higher Relative Stress,0.5959,0.6287,0.5613,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
16,C_045_169,13.373354,79.728042,0.5923,Q4: Higher Relative Stress,0.3483,0.6988,0.7299,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Pichatur,N/A (Requires Authoritative Settlement Gazetteer),
17,C_065_059,13.193691,78.733786,0.5873,Q4: Higher Relative Stress,0.6528,0.6493,0.4598,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
18,C_051_165,13.319455,79.692109,0.5848,Q4: Higher Relative Stress,0.3889,0.6973,0.6682,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
19,C_066_070,13.184708,78.832601,0.5833,Q4: Higher Relative Stress,0.7783,0.7242,0.2472,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Bangarupalem,N/A (Requires Authoritative Settlement Gazetteer),
20,C_044_054,13.382338,78.688871,0.5819,Q4: Higher Relative Stress,0.5641,0.994,0.1876,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
21,C_051_161,13.319455,79.656176,0.5817,Q4: Higher Relative Stress,0.4095,0.699,0.6365,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
22,C_046_042,13.364371,78.581073,0.5804,Q4: Higher Relative Stress,0.6718,0.7524,0.317,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
23,C_049_162,13.337422,79.66516,0.5795,Q4: Higher Relative Stress,0.2597,0.4789,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
24,C_051_162,13.319455,79.66516,0.5794,Q4: Higher Relative Stress,0.27,0.4682,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
25,C_039_166,13.427253,79.701092,0.578,Q4: Higher Relative Stress,0.2545,0.4795,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
26,C_024_067,13.562001,78.805652,0.5775,Q4: Higher Relative Stress,0.477,0.2556,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
27,C_063_061,13.211658,78.751753,0.5764,Q4: Higher Relative Stress,0.5727,0.8543,0.3023,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
28,C_039_167,13.427253,79.710075,0.5746,Q4: Higher Relative Stress,0.2168,0.5845,0.9225,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
29,C_041_054,13.409287,78.688871,0.5728,Q4: Higher Relative Stress,0.4809,0.4871,0.7503,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
30,C_050_053,13.328439,78.679887,0.5711,Q4: Higher Relative Stress,0.6745,0.8837,0.1549,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
31,C_043_040,13.391321,78.563106,0.5702,Q4: Higher Relative Stress,0.7493,0.7563,0.205,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
32,C_044_041,13.382338,78.57209,0.5677,Q4: Higher Relative Stress,0.5722,0.9897,0.1411,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
33,C_050_037,13.328439,78.536157,0.5674,Q4: Higher Relative Stress,0.4981,0.8971,0.3068,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
34,C_054_053,13.292506,78.679887,0.5672,Q4: Higher Relative Stress,0.835,0.779,0.0878,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
35,C_064_056,13.202674,78.706837,0.565,Q4: Higher Relative Stress,0.5015,0.9609,0.2325,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
36,C_044_169,13.382338,79.728042,0.5643,Q4: Higher Relative Stress,0.2351,0.4579,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Pichatur,N/A (Requires Authoritative Settlement Gazetteer),
37,C_063_058,13.211658,78.724803,0.5636,Q4: Higher Relative Stress,0.7102,0.689,0.2915,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
38,C_047_168,13.355388,79.719059,0.5633,Q4: Higher Relative Stress,0.3948,0.6859,0.6091,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
39,C_050_166,13.328439,79.701092,0.563,Q4: Higher Relative Stress,0.3541,0.3758,0.9592,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
40,C_051_169,13.319455,79.728042,0.5628,Q4: Higher Relative Stress,0.3196,0.561,0.8079,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
41,C_037_053,13.44522,78.679887,0.5622,Q4: Higher Relative Stress,0.4605,0.6621,0.5639,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
42,C_062_059,13.220641,78.733786,0.5605,Q4: Higher Relative Stress,0.6608,0.7985,0.222,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
43,C_049_165,13.337422,79.692109,0.5601,Q4: Higher Relative Stress,0.2367,0.4437,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
44,C_087_030,12.996062,78.473275,0.5599,Q4: Higher Relative Stress,0.6788,0.8099,0.191,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Venkatagirikota,N/A (Requires Authoritative Settlement Gazetteer),
45,C_064_063,13.202674,78.769719,0.5592,Q4: Higher Relative Stress,0.6994,0.9344,0.0439,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
46,C_114_005,12.753517,78.248696,0.5587,Q4: Higher Relative Stress,0.6519,1.0,0.0242,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gudupalle,N/A (Requires Authoritative Settlement Gazetteer),
47,C_048_166,13.346405,79.701092,0.5587,Q4: Higher Relative Stress,0.2954,0.3807,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
48,C_050_167,13.328439,79.710075,0.5555,Q4: Higher Relative Stress,0.3596,0.6287,0.6782,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
49,C_051_034,13.319455,78.509207,0.5549,Q4: Higher Relative Stress,0.5563,1.0,0.1084,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
50,C_055_053,13.283523,78.679887,0.5543,Q4: Higher Relative Stress,0.6152,0.9356,0.112,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
51,C_067_055,13.175725,78.697854,0.5517,Q4: Higher Relative Stress,0.5023,0.7932,0.3596,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
52,C_038_167,13.436236,79.710075,0.5514,Q4: Higher Relative Stress,0.1555,0.4986,1.0,Moderate (Compound Moisture/Vegetation Stress),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Condition Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
53,C_051_036,13.319455,78.527174,0.5502,Q4: Higher Relative Stress,0.5889,1.0,0.0616,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
54,C_035_065,13.463186,78.787685,0.5495,Q4: Higher Relative Stress,0.6172,1.0,0.0314,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
55,C_042_070,13.400304,78.832601,0.5491,Q4: Higher Relative Stress,0.5006,0.9776,0.169,Moderate (Same-Sensor Spectral Agreement),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Vegetation Condition Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
56,C_063_060,13.211658,78.742769,0.5485,Q4: Higher Relative Stress,0.7094,0.6913,0.2446,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
57,C_066_060,13.184708,78.742769,0.5485,Q4: Higher Relative Stress,0.7064,0.8557,0.0832,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
58,C_050_168,13.328439,79.719059,0.5484,Q4: Higher Relative Stress,0.2597,0.4727,0.9127,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
59,C_042_069,13.400304,78.823618,0.5483,Q4: Higher Relative Stress,0.5641,0.723,0.3579,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
60,C_046_168,13.364371,79.719059,0.5483,Q4: Higher Relative Stress,0.225,0.5229,0.897,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
61,C_043_039,13.391321,78.554123,0.5472,Q4: Higher Relative Stress,0.6806,0.8475,0.1136,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
62,C_048_168,13.346405,79.719059,0.5461,Q4: Higher Relative Stress,0.2218,0.4612,0.9553,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
63,C_048_169,13.346405,79.728042,0.5455,Q4: Higher Relative Stress,0.212,0.4246,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
64,C_050_036,13.328439,78.527174,0.5445,Q4: Higher Relative Stress,0.5944,1.0,0.039,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
65,C_045_038,13.373354,78.54514,0.5413,Q4: Higher Relative Stress,0.6161,0.8666,0.1411,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
66,C_053_050,13.301489,78.652938,0.5412,Q4: Higher Relative Stress,0.5428,0.9901,0.0907,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
67,C_074_102,13.112843,79.120062,0.5397,Q4: Higher Relative Stress,0.6155,0.9202,0.0835,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gudipala,N/A (Requires Authoritative Settlement Gazetteer),
68,C_045_168,13.373354,79.719059,0.5397,Q4: Higher Relative Stress,0.1572,0.5462,0.9156,Moderate (Compound Moisture/Vegetation Stress),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Condition Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
69,C_045_035,13.373354,78.518191,0.5396,Q4: Higher Relative Stress,0.5147,0.9391,0.1651,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
70,C_045_036,13.373354,78.527174,0.5376,Q4: Higher Relative Stress,0.5499,1.0,0.0629,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
71,C_046_035,13.364371,78.518191,0.5375,Q4: Higher Relative Stress,0.6538,0.8557,0.1028,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Ramasamudram,N/A (Requires Authoritative Settlement Gazetteer),
72,C_046_043,13.364371,78.590056,0.537,Q4: Higher Relative Stress,0.399,0.6781,0.5338,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
73,C_050_158,13.328439,79.629227,0.5365,Q4: Higher Relative Stress,0.4759,0.5861,0.5475,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
74,C_050_165,13.328439,79.692109,0.5361,Q4: Higher Relative Stress,0.21,0.3982,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
75,C_066_055,13.184708,78.697854,0.5349,Q4: Higher Relative Stress,0.7254,0.6199,0.2594,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
76,C_062_060,13.220641,78.742769,0.5344,Q4: Higher Relative Stress,0.617,0.6462,0.3399,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
77,C_049_170,13.337422,79.737025,0.5335,Q4: Higher Relative Stress,0.225,0.7265,0.6491,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
78,C_051_035,13.319455,78.518191,0.5335,Q4: Higher Relative Stress,0.557,1.0,0.0436,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
79,C_052_034,13.310472,78.509207,0.5328,Q4: Higher Relative Stress,0.4599,0.9759,0.1624,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
80,C_052_155,13.310472,79.602278,0.5317,Q4: Higher Relative Stress,0.6705,0.7598,0.1647,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
81,C_041_166,13.409287,79.701092,0.5315,Q4: Higher Relative Stress,0.2284,0.3984,0.9677,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
82,C_050_162,13.328439,79.66516,0.5303,Q4: Higher Relative Stress,0.4314,0.644,0.5155,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
83,C_040_057,13.41827,78.71582,0.5296,Q4: Higher Relative Stress,0.5247,0.7388,0.3252,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
84,C_053_039,13.301489,78.554123,0.5294,Q4: Higher Relative Stress,0.5613,0.9607,0.0662,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
85,C_045_087,13.373354,78.985315,0.5293,Q4: Higher Relative Stress,0.5369,1.0,0.0511,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Irala,N/A (Requires Authoritative Settlement Gazetteer),
86,C_041_070,13.409287,78.832601,0.5287,Q4: Higher Relative Stress,0.5683,0.8522,0.1657,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
87,C_045_040,13.373354,78.563106,0.5284,Q4: Higher Relative Stress,0.5784,0.9074,0.0996,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
88,C_043_054,13.391321,78.688871,0.5279,Q4: Higher Relative Stress,0.5325,1.0,0.0511,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
