cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank
C_051_165,79.692109,13.319455,0.5848,0.3889,0.6973,0.6682,High (Multi-Source Convergence),Q4: Higher Relative Stress,18
C_066_070,78.832601,13.184708,0.5833,0.7783,0.7242,0.2472,High (Multi-Source Convergence),Q4: Higher Relative Stress,19
C_044_054,78.688871,13.382338,0.5819,0.5641,0.994,0.1876,High (Multi-Source Convergence),Q4: Higher Relative Stress,20
C_051_161,79.656176,13.319455,0.5817,0.4095,0.699,0.6365,High (Multi-Source Convergence),Q4: Higher Relative Stress,21
C_046_042,78.581073,13.364371,0.5804,0.6718,0.7524,0.317,High (Multi-Source Convergence),Q4: Higher Relative Stress,22
C_049_162,79.66516,13.337422,0.5795,0.2597,0.4789,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,23
C_051_162,79.66516,13.319455,0.5794,0.27,0.4682,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,24
C_039_166,79.701092,13.427253,0.578,0.2545,0.4795,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,25
C_024_067,78.805652,13.562001,0.5775,0.477,0.2556,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,26
C_063_061,78.751753,13.211658,0.5764,0.5727,0.8543,0.3023,High (Multi-Source Convergence),Q4: Higher Relative Stress,27
C_039_167,79.710075,13.427253,0.5746,0.2168,0.5845,0.9225,High (Multi-Source Convergence),Q4: Higher Relative Stress,28
C_041_054,78.688871,13.409287,0.5728,0.4809,0.4871,0.7503,High (Multi-Source Convergence),Q4: Higher Relative Stress,29
C_050_053,78.679887,13.328439,0.5711,0.6745,0.8837,0.1549,High (Multi-Source Convergence),Q4: Higher Relative Stress,30
C_043_040,78.563106,13.391321,0.5702,0.7493,0.7563,0.205,High (Multi-Source Convergence),Q4: Higher Relative Stress,31
C_044_041,78.57209,13.382338,0.5677,0.5722,0.9897,0.1411,High (Multi-Source Convergence),Q4: Higher Relative Stress,32
C_050_037,78.536157,13.328439,0.5674,0.4981,0.8971,0.3068,High (Multi-Source Convergence),Q4: Higher Relative Stress,33
C_054_053,78.679887,13.292506,0.5672,0.835,0.779,0.0878,High (Multi-Source Convergence),Q4: Higher Relative Stress,34
C_064_056,78.706837,13.202674,0.565,0.5015,0.9609,0.2325,High (Multi-Source Convergence),Q4: Higher Relative Stress,35
C_044_169,79.728042,13.382338,0.5643,0.2351,0.4579,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,36
C_063_058,78.724803,13.211658,0.5636,0.7102,0.689,0.2915,High (Multi-Source Convergence),Q4: Higher Relative Stress,37
C_047_168,79.719059,13.355388,0.5633,0.3948,0.6859,0.6091,High (Multi-Source Convergence),Q4: Higher Relative Stress,38
C_050_166,79.701092,13.328439,0.563,0.3541,0.3758,0.9592,High (Multi-Source Convergence),Q4: Higher Relative Stress,39
C_051_169,79.728042,13.319455,0.5628,0.3196,0.561,0.8079,High (Multi-Source Convergence),Q4: Higher Relative Stress,40
C_037_053,78.679887,13.44522,0.5622,0.4605,0.6621,0.5639,High (Multi-Source Convergence),Q4: Higher Relative Stress,41
C_062_059,78.733786,13.220641,0.5605,0.6608,0.7985,0.222,High (Multi-Source Convergence),Q4: Higher Relative Stress,42
C_049_165,79.692109,13.337422,0.5601,0.2367,0.4437,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,43
C_087_030,78.473275,12.996062,0.5599,0.6788,0.8099,0.191,High (Multi-Source Convergence),Q4: Higher Relative Stress,44
C_064_063,78.769719,13.202674,0.5592,0.6994,0.9344,0.0439,High (Multi-Source Convergence),Q4: Higher Relative Stress,45
C_114_005,78.248696,12.753517,0.5587,0.6519,1.0,0.0242,High (Multi-Source Convergence),Q4: Higher Relative Stress,46
C_048_166,79.701092,13.346405,0.5587,0.2954,0.3807,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,47
C_050_167,79.710075,13.328439,0.5555,0.3596,0.6287,0.6782,High (Multi-Source Convergence),Q4: Higher Relative Stress,48
C_051_034,78.509207,13.319455,0.5549,0.5563,1.0,0.1084,High (Multi-Source Convergence),Q4: Higher Relative Stress,49
C_055_053,78.679887,13.283523,0.5543,0.6152,0.9356,0.112,High (Multi-Source Convergence),Q4: Higher Relative Stress,50
C_067_055,78.697854,13.175725,0.5517,0.5023,0.7932,0.3596,High (Multi-Source Convergence),Q4: Higher Relative Stress,51
C_038_167,79.710075,13.436236,0.5514,0.1555,0.4986,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,52
C_051_036,78.527174,13.319455,0.5502,0.5889,1.0,0.0616,High (Multi-Source Convergence),Q4: Higher Relative Stress,53
C_035_065,78.787685,13.463186,0.5495,0.6172,1.0,0.0314,High (Multi-Source Convergence),Q4: Higher Relative Stress,54
C_042_070,78.832601,13.400304,0.5491,0.5006,0.9776,0.169,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,55
C_063_060,78.742769,13.211658,0.5485,0.7094,0.6913,0.2446,High (Multi-Source Convergence),Q4: Higher Relative Stress,56
C_066_060,78.742769,13.184708,0.5485,0.7064,0.8557,0.0832,High (Multi-Source Convergence),Q4: Higher Relative Stress,57
C_050_168,79.719059,13.328439,0.5484,0.2597,0.4727,0.9127,High (Multi-Source Convergence),Q4: Higher Relative Stress,58
C_042_069,78.823618,13.400304,0.5483,0.5641,0.723,0.3579,High (Multi-Source Convergence),Q4: Higher Relative Stress,59
C_046_168,79.719059,13.364371,0.5483,0.225,0.5229,0.897,High (Multi-Source Convergence),Q4: Higher Relative Stress,60
C_043_039,78.554123,13.391321,0.5472,0.6806,0.8475,0.1136,High (Multi-Source Convergence),Q4: Higher Relative Stress,61
C_048_168,79.719059,13.346405,0.5461,0.2218,0.4612,0.9553,High (Multi-Source Convergence),Q4: Higher Relative Stress,62
C_048_169,79.728042,13.346405,0.5455,0.212,0.4246,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,63
C_050_036,78.527174,13.328439,0.5445,0.5944,1.0,0.039,High (Multi-Source Convergence),Q4: Higher Relative Stress,64
C_045_038,78.54514,13.373354,0.5413,0.6161,0.8666,0.1411,High (Multi-Source Convergence),Q4: Higher Relative Stress,65
C_053_050,78.652938,13.301489,0.5412,0.5428,0.9901,0.0907,High (Multi-Source Convergence),Q4: Higher Relative Stress,66
C_074_102,79.120062,13.112843,0.5397,0.6155,0.9202,0.0835,High (Multi-Source Convergence),Q4: Higher Relative Stress,67
C_045_168,79.719059,13.373354,0.5397,0.1572,0.5462,0.9156,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,68
C_045_035,78.518191,13.373354,0.5396,0.5147,0.9391,0.1651,High (Multi-Source Convergence),Q4: Higher Relative Stress,69
C_045_036,78.527174,13.373354,0.5376,0.5499,1.0,0.0629,High (Multi-Source Convergence),Q4: Higher Relative Stress,70
C_046_035,78.518191,13.364371,0.5375,0.6538,0.8557,0.1028,High (Multi-Source Convergence),Q4: Higher Relative Stress,71
C_046_043,78.590056,13.364371,0.537,0.399,0.6781,0.5338,High (Multi-Source Convergence),Q4: Higher Relative Stress,72
C_050_158,79.629227,13.328439,0.5365,0.4759,0.5861,0.5475,High (Multi-Source Convergence),Q4: Higher Relative Stress,73
C_050_165,79.692109,13.328439,0.5361,0.21,0.3982,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,74
C_066_055,78.697854,13.184708,0.5349,0.7254,0.6199,0.2594,High (Multi-Source Convergence),Q4: Higher Relative Stress,75
C_062_060,78.742769,13.220641,0.5344,0.617,0.6462,0.3399,High (Multi-Source Convergence),Q4: Higher Relative Stress,76
C_049_170,79.737025,13.337422,0.5335,0.225,0.7265,0.6491,High (Multi-Source Convergence),Q4: Higher Relative Stress,77
C_051_035,78.518191,13.319455,0.5335,0.557,1.0,0.0436,High (Multi-Source Convergence),Q4: Higher Relative Stress,78
C_052_034,78.509207,13.310472,0.5328,0.4599,0.9759,0.1624,High (Multi-Source Convergence),Q4: Higher Relative Stress,79
C_052_155,79.602278,13.310472,0.5317,0.6705,0.7598,0.1647,High (Multi-Source Convergence),Q4: Higher Relative Stress,80
C_041_166,79.701092,13.409287,0.5315,0.2284,0.3984,0.9677,High (Multi-Source Convergence),Q4: Higher Relative Stress,81
C_050_162,79.66516,13.328439,0.5303,0.4314,0.644,0.5155,High (Multi-Source Convergence),Q4: Higher Relative Stress,82
C_040_057,78.71582,13.41827,0.5296,0.5247,0.7388,0.3252,High (Multi-Source Convergence),Q4: Higher Relative Stress,83
C_053_039,78.554123,13.301489,0.5294,0.5613,0.9607,0.0662,High (Multi-Source Convergence),Q4: Higher Relative Stress,84
C_045_087,78.985315,13.373354,0.5293,0.5369,1.0,0.0511,High (Multi-Source Convergence),Q4: Higher Relative Stress,85
C_041_070,78.832601,13.409287,0.5287,0.5683,0.8522,0.1657,High (Multi-Source Convergence),Q4: Higher Relative Stress,86
C_045_040,78.563106,13.373354,0.5284,0.5784,0.9074,0.0996,High (Multi-Source Convergence),Q4: Higher Relative Stress,87
C_043_054,78.688871,13.391321,0.5279,0.5325,1.0,0.0511,High (Multi-Source Convergence),Q4: Higher Relative Stress,88
C_042_163,79.674143,13.400304,0.5271,0.1922,0.3892,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,89
C_065_132,79.389556,13.193691,0.5261,0.4553,0.3863,0.7368,High (Multi-Source Convergence),Q4: Higher Relative Stress,90
C_045_043,78.590056,13.373354,0.5258,0.4515,1.0,0.1258,High (Multi-Source Convergence),Q4: Higher Relative Stress,91
C_050_035,78.518191,13.328439,0.5257,0.5034,1.0,0.0737,High (Multi-Source Convergence),Q4: Higher Relative Stress,92
C_040_166,79.701092,13.41827,0.5255,0.2704,0.3283,0.9778,High (Multi-Source Convergence),Q4: Higher Relative Stress,93
C_062_061,78.751753,13.220641,0.5254,0.6586,0.5686,0.3491,High (Multi-Source Convergence),Q4: Higher Relative Stress,94
C_071_127,79.344641,13.139792,0.5223,0.5239,1.0,0.0431,High (Multi-Source Convergence),Q4: Higher Relative Stress,95
C_043_041,78.57209,13.391321,0.5218,0.472,0.9848,0.1087,High (Multi-Source Convergence),Q4: Higher Relative Stress,96
C_044_044,78.599039,13.382338,0.5209,0.5461,0.8953,0.1215,High (Multi-Source Convergence),Q4: Higher Relative Stress,97
C_050_164,79.683126,13.328439,0.52,0.3603,0.4552,0.7444,High (Multi-Source Convergence),Q4: Higher Relative Stress,98
C_048_038,78.54514,13.346405,0.5197,0.4618,0.9842,0.113,High (Multi-Source Convergence),Q4: Higher Relative Stress,99
C_053_152,79.575328,13.301489,0.5196,0.4036,0.8992,0.2561,High (Multi-Source Convergence),Q4: Higher Relative Stress,100
C_045_048,78.634972,13.373354,0.5186,0.4711,1.0,0.0848,High (Multi-Source Convergence),Q4: Higher Relative Stress,101
C_054_054,78.688871,13.292506,0.5181,0.5304,0.8582,0.1657,High (Multi-Source Convergence),Q4: Higher Relative Stress,102
C_063_055,78.697854,13.211658,0.5165,0.4879,0.9346,0.1271,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,103
C_116_007,78.266662,12.735551,0.5163,0.5,1.0,0.0488,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,104
C_061_167,79.710075,13.229624,0.5159,0.2422,0.3054,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,105
C_068_094,79.048197,13.166742,0.5158,0.5943,0.7277,0.2253,High (Multi-Source Convergence),Q4: Higher Relative Stress,106
C_024_068,78.814635,13.562001,0.5153,0.5744,0.7203,0.2512,High (Multi-Source Convergence),Q4: Higher Relative Stress,107
C_048_161,79.656176,13.346405,0.5153,0.2912,0.5225,0.7322,High (Multi-Source Convergence),Q4: Higher Relative Stress,108
C_046_044,78.599039,13.364371,0.5152,0.4615,0.8741,0.2099,High (Multi-Source Convergence),Q4: Higher Relative Stress,109
C_051_033,78.500224,13.319455,0.5149,0.4817,0.9819,0.0812,High (Multi-Source Convergence),Q4: Higher Relative Stress,110
C_066_059,78.733786,13.184708,0.5146,0.5278,0.7205,0.2954,High (Multi-Source Convergence),Q4: Higher Relative Stress,111
C_044_037,78.536157,13.382338,0.5145,0.4221,0.9253,0.1962,High (Multi-Source Convergence),Q4: Higher Relative Stress,112
C_058_056,78.706837,13.256573,0.5143,0.5592,0.8559,0.1277,High (Multi-Source Convergence),Q4: Higher Relative Stress,113
C_040_058,78.724803,13.41827,0.5137,0.5705,0.9064,0.0642,High (Multi-Source Convergence),Q4: Higher Relative Stress,114
C_046_164,79.683126,13.364371,0.5128,0.187,0.3513,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,115
C_119_017,78.356494,12.708601,0.5115,0.594,0.2865,0.654,High (Multi-Source Convergence),Q4: Higher Relative Stress,116
C_046_046,78.617005,13.364371,0.5115,0.6118,0.7701,0.1526,High (Multi-Source Convergence),Q4: Higher Relative Stress,117
C_052_168,79.719059,13.310472,0.5112,0.2946,0.5857,0.6533,High (Multi-Source Convergence),Q4: Higher Relative Stress,118
C_051_163,79.674143,13.319455,0.511,0.154,0.3791,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,119
C_046_163,79.674143,13.364371,0.5106,0.2649,0.4361,0.8308,High (Multi-Source Convergence),Q4: Higher Relative Stress,120
C_035_063,78.769719,13.463186,0.5104,0.3073,0.661,0.5629,High (Multi-Source Convergence),Q4: Higher Relative Stress,121
C_033_042,78.581073,13.481152,0.5101,0.4604,1.0,0.0701,High (Multi-Source Convergence),Q4: Higher Relative Stress,122
C_055_048,78.634972,13.283523,0.5097,0.4587,1.0,0.0704,High (Multi-Source Convergence),Q4: Higher Relative Stress,123
C_047_169,79.728042,13.355388,0.5093,0.2332,0.5444,0.7504,High (Multi-Source Convergence),Q4: Higher Relative Stress,124
C_049_163,79.674143,13.337422,0.5091,0.1865,0.3406,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,125
C_055_054,78.688871,13.283523,0.5083,0.4919,0.9558,0.0773,High (Multi-Source Convergence),Q4: Higher Relative Stress,126
C_042_166,79.701092,13.400304,0.5076,0.1997,0.3231,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,127
C_117_006,78.257679,12.726567,0.5076,0.5,1.0,0.0229,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,128
C_061_117,79.254809,13.229624,0.5076,0.5354,0.7777,0.2096,High (Multi-Source Convergence),Q4: Higher Relative Stress,129
C_046_102,79.120062,13.364371,0.5075,0.1876,0.7337,0.6012,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,130
C_055_052,78.670904,13.283523,0.5061,0.581,0.75,0.1873,High (Multi-Source Convergence),Q4: Higher Relative Stress,131
C_044_088,78.994298,13.382338,0.5059,0.5913,0.5909,0.3357,High (Multi-Source Convergence),Q4: Higher Relative Stress,132
C_039_054,78.688871,13.427253,0.5042,0.4758,0.8428,0.1942,High (Multi-Source Convergence),Q4: Higher Relative Stress,133
C_115_005,78.248696,12.744534,0.5041,0.5,1.0,0.0124,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,134
C_084_049,78.643955,13.023011,0.5039,0.5,1.0,0.0118,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,135
C_055_159,79.63821,13.283523,0.5038,0.2186,0.7053,0.5873,High (Multi-Source Convergence),Q4: Higher Relative Stress,136
C_092_033,78.500224,12.951146,0.5036,0.6525,0.7067,0.1516,High (Multi-Source Convergence),Q4: Higher Relative Stress,137
C_066_072,78.850567,13.184708,0.5031,0.4589,0.7738,0.2764,High (Multi-Source Convergence),Q4: Higher Relative Stress,138
C_057_058,78.724803,13.265557,0.5029,0.6039,0.7539,0.151,High (Multi-Source Convergence),Q4: Higher Relative Stress,139
C_067_058,78.724803,13.175725,0.5027,0.4906,0.7866,0.2309,High (Multi-Source Convergence),Q4: Higher Relative Stress,140
C_056_051,78.661921,13.27454,0.5026,0.6598,0.724,0.1241,High (Multi-Source Convergence),Q4: Higher Relative Stress,141
C_044_052,78.670904,13.382338,0.5021,0.5082,0.8033,0.1948,High (Multi-Source Convergence),Q4: Higher Relative Stress,142
C_050_161,79.656176,13.328439,0.5011,0.3699,0.6302,0.5033,High (Multi-Source Convergence),Q4: Higher Relative Stress,143
C_045_045,78.608022,13.373354,0.5011,0.3741,0.9424,0.187,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,144
C_082_051,78.661921,13.040978,0.5008,0.4997,1.0,0.0026,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,145
C_060_098,79.084129,13.238607,0.5008,0.6202,0.6798,0.2024,High (Multi-Source Convergence),Q4: Higher Relative Stress,146
C_063_067,78.805652,13.211658,0.5003,0.5,1.0,0.001,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,147
C_088_042,78.581073,12.987079,0.5002,0.5,1.0,0.0007,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,148
C_085_040,78.563106,13.014028,0.5001,0.5,1.0,0.0003,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,149
C_060_055,78.697854,13.238607,0.5001,0.4383,0.8526,0.2093,High (Multi-Source Convergence),Q4: Higher Relative Stress,150
C_116_006,78.257679,12.735551,0.5001,0.5,1.0,0.0003,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,151
C_084_044,78.599039,13.023011,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,152
C_081_042,78.581073,13.049961,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,153
C_082_041,78.57209,13.040978,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,154
C_086_045,78.608022,13.005045,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,155
C_082_040,78.563106,13.040978,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,156
C_087_044,78.599039,12.996062,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,157
C_080_041,78.57209,13.058944,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,158
C_081_041,78.57209,13.049961,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,159
C_082_050,78.652938,13.040978,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,160
C_080_040,78.563106,13.058944,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,161
C_077_066,78.796668,13.085893,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,162
C_073_069,78.823618,13.121826,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,163
C_117_005,78.248696,12.726567,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,164
C_082_042,78.581073,13.040978,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,165
C_081_040,78.563106,13.049961,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,166
C_084_045,78.608022,13.023011,0.5,0.4999,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,167
C_116_005,78.248696,12.735551,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,168
C_083_042,78.581073,13.031995,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,169
C_083_043,78.590056,13.031995,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,170
C_084_048,78.634972,13.023011,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,171
C_084_043,78.590056,13.023011,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,172
C_084_041,78.57209,13.023011,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,173
C_083_041,78.57209,13.031995,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,174
C_084_042,78.581073,13.023011,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,175
C_085_044,78.599039,13.014028,0.5,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,176
C_054_161,79.656176,13.292506,0.4999,0.2943,0.5477,0.6576,High (Multi-Source Convergence),Q4: Higher Relative Stress,177
C_046_165,79.692109,13.364371,0.4993,0.156,0.3725,0.9693,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,178
C_049_037,78.536157,13.337422,0.4992,0.466,0.9543,0.0773,High (Multi-Source Convergence),Q4: Higher Relative Stress,179
C_079_039,78.554123,13.067927,0.499,0.5,0.9969,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,180
C_052_035,78.518191,13.310472,0.498,0.4975,0.9272,0.0694,High (Multi-Source Convergence),Q4: Higher Relative Stress,181
C_054_152,79.575328,13.292506,0.4976,0.2628,0.8652,0.3648,High (Multi-Source Convergence),Q4: Higher Relative Stress,182
C_050_034,78.509207,13.328439,0.4976,0.4646,1.0,0.0282,High (Multi-Source Convergence),Q4: Higher Relative Stress,183
C_085_041,78.57209,13.014028,0.4976,0.5,0.9928,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,184
C_049_164,79.683126,13.337422,0.4973,0.1491,0.3429,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,185
C_044_043,78.590056,13.382338,0.4962,0.532,0.928,0.0288,High (Multi-Source Convergence),Q4: Higher Relative Stress,186
C_045_165,79.692109,13.373354,0.4961,0.2667,0.2217,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,187
C_053_165,79.692109,13.301489,0.4956,0.21,0.3725,0.9042,High (Multi-Source Convergence),Q4: Higher Relative Stress,188
C_049_169,79.728042,13.337422,0.4952,0.2761,0.6977,0.5118,High (Multi-Source Convergence),Q4: Higher Relative Stress,189
C_063_051,78.661921,13.211658,0.4942,0.408,0.7242,0.3504,High (Multi-Source Convergence),Q4: Higher Relative Stress,190
C_054_162,79.66516,13.292506,0.4937,0.1892,0.2918,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,191
C_040_048,78.634972,13.41827,0.4935,0.4599,0.8111,0.2096,High (Multi-Source Convergence),Q4: Higher Relative Stress,192
C_048_044,78.599039,13.346405,0.4934,0.4575,0.9029,0.1199,High (Multi-Source Convergence),Q4: Higher Relative Stress,193
C_053_153,79.584311,13.301489,0.4929,0.5788,0.7683,0.1316,High (Multi-Source Convergence),Q4: Higher Relative Stress,194
C_035_073,78.85955,13.463186,0.4929,0.3914,0.6075,0.4798,High (Multi-Source Convergence),Q4: Higher Relative Stress,195
C_051_168,79.719059,13.319455,0.4928,0.3861,0.7183,0.374,High (Multi-Source Convergence),Q4: Higher Relative Stress,196
C_118_006,78.257679,12.717584,0.4927,0.4672,1.0,0.0108,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,197
C_119_006,78.257679,12.708601,0.4923,0.4774,0.9995,0.0,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,198
C_080_033,78.500224,13.058944,0.4921,0.746,0.5819,0.1484,High (Multi-Source Convergence),Q4: Higher Relative Stress,199
C_044_040,78.563106,13.382338,0.4918,0.6648,0.696,0.1146,High (Multi-Source Convergence),Q4: Higher Relative Stress,200
C_080_038,78.54514,13.058944,0.4918,0.5356,0.8473,0.0923,High (Multi-Source Convergence),Q4: Higher Relative Stress,201
C_044_164,79.683126,13.382338,0.4918,0.1509,0.3243,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,202
C_065_057,78.71582,13.193691,0.4917,0.5609,0.6617,0.2525,High (Multi-Source Convergence),Q4: Higher Relative Stress,203
C_070_054,78.688871,13.148776,0.4917,0.4233,0.7372,0.3147,High (Multi-Source Convergence),Q4: Higher Relative Stress,204
C_054_039,78.554123,13.292506,0.4915,0.453,0.9523,0.0691,High (Multi-Source Convergence),Q4: Higher Relative Stress,205
C_052_162,79.66516,13.310472,0.4907,0.2029,0.2692,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,206
C_083_051,78.661921,13.031995,0.4903,0.5,0.9697,0.0012,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,207
C_048_040,78.563106,13.346405,0.49,0.4071,1.0,0.0629,High (Multi-Source Convergence),Q4: Higher Relative Stress,208
C_047_045,78.608022,13.355388,0.49,0.4768,0.9057,0.0874,High (Multi-Source Convergence),Q4: Higher Relative Stress,209
C_044_038,78.54514,13.382338,0.4898,0.5023,0.8319,0.1352,High (Multi-Source Convergence),Q4: Higher Relative Stress,210
