category,file,type,source,time_period,spatial_resolution,status,used_in_final_results,notes
Metadata Manifest,data/metadata/integrated_spatial_change_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/prediction_feasibility_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/sentinel2_change_detection_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/sentinel2_feature_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/sentinel2_feature_validation_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/sentinel2_preprocessing_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/spatial_statistical_validation_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Output Table,outputs/tables/builtup_forecast_2026.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/builtup_forecast_interpretation.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/builtup_forecast_validation.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/decision_support_matrix.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/environmental_stress_explainability.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/environmental_stress_grid_1km.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/environmental_stress_rankings.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/environmental_stress_sensitivity.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/executive_decision_summary.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/final_project_data_inventory.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/forecast_model_comparison.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/integrated_spatial_change_evidence.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/master_dataset_audit.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/prediction_data_inventory.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/prediction_feasibility_matrix.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/sentinel2_feature_validation.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/spatial_statistical_validation.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Output Table,outputs/tables/top_100_environmental_stress_cells.csv,CSV Table,Pipeline Output,2016–2025 / 2026,1 km / 500 m / District,Verified,Yes,"Analytical tables, validation metrics, rankings, and decision matrices."
Research Documentation Log,docs/research_log/00_project_scope.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/01_data_acquisition.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/02_technical_validation.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/03_scientific_band_validation.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/04_preprocessing.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/05_feature_engineering.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/06_feature_validation.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/06_statistical_analysis.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/07_change_detection.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/07_spatial_analysis.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/08_change_detection.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/09_integrated_spatial_change.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/09_risk_analysis.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/10_ml_analysis.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/10_spatial_statistical_validation.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/11_environmental_stress_indicator.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/11_final_results.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/12_prediction_feasibility.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/13_builtup_forecasting.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
Research Documentation Log,docs/research_log/14_explainability_decision_support.md,Markdown Log,Scientific Documentation Protocol,Project Lifecycle,Multi-scale,Verified (Complete),Yes,Sequential scientific research logs (00 to 14).
