rank,cell_id,lon,lat,stress_score,stress_category,urbanization_component,vegetation_component,water_component,evidence_strength,supporting_evidence_count,evidence_interpretation
11,C_069_054,78.688871,13.157759,0.6075,Q4: Higher Relative Stress,0.7147,0.7905,0.3173,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
12,C_053_166,79.701092,13.301489,0.6071,Q4: Higher Relative Stress,0.3731,0.6491,0.799,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
13,C_050_169,79.728042,13.328439,0.5978,Q4: Higher Relative Stress,0.4206,0.6652,0.7077,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
14,C_047_043,78.590056,13.355388,0.5967,Q4: Higher Relative Stress,0.7471,0.8002,0.243,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
15,C_042_068,78.814635,13.400304,0.5953,Q4: Higher Relative Stress,0.5959,0.6287,0.5613,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
16,C_045_169,79.728042,13.373354,0.5923,Q4: Higher Relative Stress,0.3483,0.6988,0.7299,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
17,C_065_059,78.733786,13.193691,0.5873,Q4: Higher Relative Stress,0.6528,0.6493,0.4598,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
18,C_051_165,79.692109,13.319455,0.5848,Q4: Higher Relative Stress,0.3889,0.6973,0.6682,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
19,C_066_070,78.832601,13.184708,0.5833,Q4: Higher Relative Stress,0.7783,0.7242,0.2472,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
20,C_044_054,78.688871,13.382338,0.5819,Q4: Higher Relative Stress,0.5641,0.994,0.1876,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
21,C_051_161,79.656176,13.319455,0.5817,Q4: Higher Relative Stress,0.4095,0.699,0.6365,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
22,C_046_042,78.581073,13.364371,0.5804,Q4: Higher Relative Stress,0.6718,0.7524,0.317,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
23,C_049_162,79.66516,13.337422,0.5795,Q4: Higher Relative Stress,0.2597,0.4789,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
24,C_051_162,79.66516,13.319455,0.5794,Q4: Higher Relative Stress,0.27,0.4682,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
25,C_039_166,79.701092,13.427253,0.578,Q4: Higher Relative Stress,0.2545,0.4795,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
26,C_024_067,78.805652,13.562001,0.5775,Q4: Higher Relative Stress,0.477,0.2556,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
27,C_063_061,78.751753,13.211658,0.5764,Q4: Higher Relative Stress,0.5727,0.8543,0.3023,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
28,C_039_167,79.710075,13.427253,0.5746,Q4: Higher Relative Stress,0.2168,0.5845,0.9225,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
29,C_041_054,78.688871,13.409287,0.5728,Q4: Higher Relative Stress,0.4809,0.4871,0.7503,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
30,C_050_053,78.679887,13.328439,0.5711,Q4: Higher Relative Stress,0.6745,0.8837,0.1549,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
31,C_043_040,78.563106,13.391321,0.5702,Q4: Higher Relative Stress,0.7493,0.7563,0.205,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
32,C_044_041,78.57209,13.382338,0.5677,Q4: Higher Relative Stress,0.5722,0.9897,0.1411,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
33,C_050_037,78.536157,13.328439,0.5674,Q4: Higher Relative Stress,0.4981,0.8971,0.3068,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
34,C_054_053,78.679887,13.292506,0.5672,Q4: Higher Relative Stress,0.835,0.779,0.0878,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
35,C_064_056,78.706837,13.202674,0.565,Q4: Higher Relative Stress,0.5015,0.9609,0.2325,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
36,C_044_169,79.728042,13.382338,0.5643,Q4: Higher Relative Stress,0.2351,0.4579,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
37,C_063_058,78.724803,13.211658,0.5636,Q4: Higher Relative Stress,0.7102,0.689,0.2915,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
38,C_047_168,79.719059,13.355388,0.5633,Q4: Higher Relative Stress,0.3948,0.6859,0.6091,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
39,C_050_166,79.701092,13.328439,0.563,Q4: Higher Relative Stress,0.3541,0.3758,0.9592,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
40,C_051_169,79.728042,13.319455,0.5628,Q4: Higher Relative Stress,0.3196,0.561,0.8079,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
41,C_037_053,78.679887,13.44522,0.5622,Q4: Higher Relative Stress,0.4605,0.6621,0.5639,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
42,C_062_059,78.733786,13.220641,0.5605,Q4: Higher Relative Stress,0.6608,0.7985,0.222,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
43,C_049_165,79.692109,13.337422,0.5601,Q4: Higher Relative Stress,0.2367,0.4437,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
44,C_087_030,78.473275,12.996062,0.5599,Q4: Higher Relative Stress,0.6788,0.8099,0.191,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
45,C_064_063,78.769719,13.202674,0.5592,Q4: Higher Relative Stress,0.6994,0.9344,0.0439,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
46,C_114_005,78.248696,12.753517,0.5587,Q4: Higher Relative Stress,0.6519,1.0,0.0242,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
47,C_048_166,79.701092,13.346405,0.5587,Q4: Higher Relative Stress,0.2954,0.3807,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
48,C_050_167,79.710075,13.328439,0.5555,Q4: Higher Relative Stress,0.3596,0.6287,0.6782,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
49,C_051_034,78.509207,13.319455,0.5549,Q4: Higher Relative Stress,0.5563,1.0,0.1084,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
50,C_055_053,78.679887,13.283523,0.5543,Q4: Higher Relative Stress,0.6152,0.9356,0.112,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
51,C_067_055,78.697854,13.175725,0.5517,Q4: Higher Relative Stress,0.5023,0.7932,0.3596,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
52,C_038_167,79.710075,13.436236,0.5514,Q4: Higher Relative Stress,0.1555,0.4986,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
53,C_051_036,78.527174,13.319455,0.5502,Q4: Higher Relative Stress,0.5889,1.0,0.0616,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
54,C_035_065,78.787685,13.463186,0.5495,Q4: Higher Relative Stress,0.6172,1.0,0.0314,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
55,C_042_070,78.832601,13.400304,0.5491,Q4: Higher Relative Stress,0.5006,0.9776,0.169,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
56,C_063_060,78.742769,13.211658,0.5485,Q4: Higher Relative Stress,0.7094,0.6913,0.2446,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
57,C_066_060,78.742769,13.184708,0.5485,Q4: Higher Relative Stress,0.7064,0.8557,0.0832,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
58,C_050_168,79.719059,13.328439,0.5484,Q4: Higher Relative Stress,0.2597,0.4727,0.9127,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
59,C_042_069,78.823618,13.400304,0.5483,Q4: Higher Relative Stress,0.5641,0.723,0.3579,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
60,C_046_168,79.719059,13.364371,0.5483,Q4: Higher Relative Stress,0.225,0.5229,0.897,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
61,C_043_039,78.554123,13.391321,0.5472,Q4: Higher Relative Stress,0.6806,0.8475,0.1136,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
62,C_048_168,79.719059,13.346405,0.5461,Q4: Higher Relative Stress,0.2218,0.4612,0.9553,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
63,C_048_169,79.728042,13.346405,0.5455,Q4: Higher Relative Stress,0.212,0.4246,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
64,C_050_036,78.527174,13.328439,0.5445,Q4: Higher Relative Stress,0.5944,1.0,0.039,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
65,C_045_038,78.54514,13.373354,0.5413,Q4: Higher Relative Stress,0.6161,0.8666,0.1411,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
66,C_053_050,78.652938,13.301489,0.5412,Q4: Higher Relative Stress,0.5428,0.9901,0.0907,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
67,C_074_102,79.120062,13.112843,0.5397,Q4: Higher Relative Stress,0.6155,0.9202,0.0835,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
68,C_045_168,79.719059,13.373354,0.5397,Q4: Higher Relative Stress,0.1572,0.5462,0.9156,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
69,C_045_035,78.518191,13.373354,0.5396,Q4: Higher Relative Stress,0.5147,0.9391,0.1651,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
70,C_045_036,78.527174,13.373354,0.5376,Q4: Higher Relative Stress,0.5499,1.0,0.0629,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
71,C_046_035,78.518191,13.364371,0.5375,Q4: Higher Relative Stress,0.6538,0.8557,0.1028,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
72,C_046_043,78.590056,13.364371,0.537,Q4: Higher Relative Stress,0.399,0.6781,0.5338,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
73,C_050_158,79.629227,13.328439,0.5365,Q4: Higher Relative Stress,0.4759,0.5861,0.5475,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
74,C_050_165,79.692109,13.328439,0.5361,Q4: Higher Relative Stress,0.21,0.3982,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
75,C_066_055,78.697854,13.184708,0.5349,Q4: Higher Relative Stress,0.7254,0.6199,0.2594,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
76,C_062_060,78.742769,13.220641,0.5344,Q4: Higher Relative Stress,0.617,0.6462,0.3399,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
77,C_051_035,78.518191,13.319455,0.5335,Q4: Higher Relative Stress,0.557,1.0,0.0436,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
78,C_049_170,79.737025,13.337422,0.5335,Q4: Higher Relative Stress,0.225,0.7265,0.6491,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
79,C_052_034,78.509207,13.310472,0.5328,Q4: Higher Relative Stress,0.4599,0.9759,0.1624,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
80,C_052_155,79.602278,13.310472,0.5317,Q4: Higher Relative Stress,0.6705,0.7598,0.1647,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
81,C_041_166,79.701092,13.409287,0.5315,Q4: Higher Relative Stress,0.2284,0.3984,0.9677,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
82,C_050_162,79.66516,13.328439,0.5303,Q4: Higher Relative Stress,0.4314,0.644,0.5155,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
83,C_040_057,78.71582,13.41827,0.5296,Q4: Higher Relative Stress,0.5247,0.7388,0.3252,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
84,C_053_039,78.554123,13.301489,0.5294,Q4: Higher Relative Stress,0.5613,0.9607,0.0662,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
85,C_045_087,78.985315,13.373354,0.5293,Q4: Higher Relative Stress,0.5369,1.0,0.0511,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
86,C_041_070,78.832601,13.409287,0.5287,Q4: Higher Relative Stress,0.5683,0.8522,0.1657,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
87,C_045_040,78.563106,13.373354,0.5284,Q4: Higher Relative Stress,0.5784,0.9074,0.0996,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
88,C_043_054,78.688871,13.391321,0.5279,Q4: Higher Relative Stress,0.5325,1.0,0.0511,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
89,C_042_163,79.674143,13.400304,0.5271,Q4: Higher Relative Stress,0.1922,0.3892,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
90,C_065_132,79.389556,13.193691,0.5261,Q4: Higher Relative Stress,0.4553,0.3863,0.7368,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
91,C_045_043,78.590056,13.373354,0.5258,Q4: Higher Relative Stress,0.4515,1.0,0.1258,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
92,C_050_035,78.518191,13.328439,0.5257,Q4: Higher Relative Stress,0.5034,1.0,0.0737,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
93,C_040_166,79.701092,13.41827,0.5255,Q4: Higher Relative Stress,0.2704,0.3283,0.9778,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
94,C_062_061,78.751753,13.220641,0.5254,Q4: Higher Relative Stress,0.6586,0.5686,0.3491,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
95,C_071_127,79.344641,13.139792,0.5223,Q4: Higher Relative Stress,0.5239,1.0,0.0431,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
96,C_043_041,78.57209,13.391321,0.5218,Q4: Higher Relative Stress,0.472,0.9848,0.1087,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
97,C_044_044,78.599039,13.382338,0.5209,Q4: Higher Relative Stress,0.5461,0.8953,0.1215,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
98,C_050_164,79.683126,13.328439,0.52,Q4: Higher Relative Stress,0.3603,0.4552,0.7444,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
99,C_048_038,78.54514,13.346405,0.5197,Q4: Higher Relative Stress,0.4618,0.9842,0.113,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
100,C_053_152,79.575328,13.301489,0.5196,Q4: Higher Relative Stress,0.4036,0.8992,0.2561,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
101,C_045_048,78.634972,13.373354,0.5186,Q4: Higher Relative Stress,0.4711,1.0,0.0848,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
102,C_054_054,78.688871,13.292506,0.5181,Q4: Higher Relative Stress,0.5304,0.8582,0.1657,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
103,C_063_055,78.697854,13.211658,0.5165,Q4: Higher Relative Stress,0.4879,0.9346,0.1271,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
104,C_116_007,78.266662,12.735551,0.5163,Q4: Higher Relative Stress,0.5,1.0,0.0488,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
105,C_061_167,79.710075,13.229624,0.5159,Q4: Higher Relative Stress,0.2422,0.3054,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
106,C_068_094,79.048197,13.166742,0.5158,Q4: Higher Relative Stress,0.5943,0.7277,0.2253,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
107,C_024_068,78.814635,13.562001,0.5153,Q4: Higher Relative Stress,0.5744,0.7203,0.2512,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
108,C_048_161,79.656176,13.346405,0.5153,Q4: Higher Relative Stress,0.2912,0.5225,0.7322,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
109,C_046_044,78.599039,13.364371,0.5152,Q4: Higher Relative Stress,0.4615,0.8741,0.2099,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
110,C_051_033,78.500224,13.319455,0.5149,Q4: Higher Relative Stress,0.4817,0.9819,0.0812,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
111,C_066_059,78.733786,13.184708,0.5146,Q4: Higher Relative Stress,0.5278,0.7205,0.2954,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
112,C_044_037,78.536157,13.382338,0.5145,Q4: Higher Relative Stress,0.4221,0.9253,0.1962,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
113,C_058_056,78.706837,13.256573,0.5143,Q4: Higher Relative Stress,0.5592,0.8559,0.1277,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
114,C_040_058,78.724803,13.41827,0.5137,Q4: Higher Relative Stress,0.5705,0.9064,0.0642,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
115,C_046_164,79.683126,13.364371,0.5128,Q4: Higher Relative Stress,0.187,0.3513,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
116,C_046_046,78.617005,13.364371,0.5115,Q4: Higher Relative Stress,0.6118,0.7701,0.1526,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
117,C_119_017,78.356494,12.708601,0.5115,Q4: Higher Relative Stress,0.594,0.2865,0.654,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
118,C_052_168,79.719059,13.310472,0.5112,Q4: Higher Relative Stress,0.2946,0.5857,0.6533,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
119,C_051_163,79.674143,13.319455,0.511,Q4: Higher Relative Stress,0.154,0.3791,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
120,C_046_163,79.674143,13.364371,0.5106,Q4: Higher Relative Stress,0.2649,0.4361,0.8308,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
121,C_035_063,78.769719,13.463186,0.5104,Q4: Higher Relative Stress,0.3073,0.661,0.5629,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
122,C_033_042,78.581073,13.481152,0.5101,Q4: Higher Relative Stress,0.4604,1.0,0.0701,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
123,C_055_048,78.634972,13.283523,0.5097,Q4: Higher Relative Stress,0.4587,1.0,0.0704,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
124,C_047_169,79.728042,13.355388,0.5093,Q4: Higher Relative Stress,0.2332,0.5444,0.7504,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
125,C_049_163,79.674143,13.337422,0.5091,Q4: Higher Relative Stress,0.1865,0.3406,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
126,C_055_054,78.688871,13.283523,0.5083,Q4: Higher Relative Stress,0.4919,0.9558,0.0773,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
127,C_061_117,79.254809,13.229624,0.5076,Q4: Higher Relative Stress,0.5354,0.7777,0.2096,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
128,C_117_006,78.257679,12.726567,0.5076,Q4: Higher Relative Stress,0.5,1.0,0.0229,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
129,C_042_166,79.701092,13.400304,0.5076,Q4: Higher Relative Stress,0.1997,0.3231,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
130,C_046_102,79.120062,13.364371,0.5075,Q4: Higher Relative Stress,0.1876,0.7337,0.6012,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
131,C_055_052,78.670904,13.283523,0.5061,Q4: Higher Relative Stress,0.581,0.75,0.1873,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
132,C_044_088,78.994298,13.382338,0.5059,Q4: Higher Relative Stress,0.5913,0.5909,0.3357,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
133,C_039_054,78.688871,13.427253,0.5042,Q4: Higher Relative Stress,0.4758,0.8428,0.1942,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
134,C_115_005,78.248696,12.744534,0.5041,Q4: Higher Relative Stress,0.5,1.0,0.0124,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
135,C_084_049,78.643955,13.023011,0.5039,Q4: Higher Relative Stress,0.5,1.0,0.0118,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
136,C_055_159,79.63821,13.283523,0.5038,Q4: Higher Relative Stress,0.2186,0.7053,0.5873,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
137,C_092_033,78.500224,12.951146,0.5036,Q4: Higher Relative Stress,0.6525,0.7067,0.1516,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
